date,close,high,low,open
2016.04.14 시작09:30,112.1,112.39,111.33,111.62
2016.04.15 시작09:30,109.85,112.3,109.73,112.11
2016.04.18 시작09:30,107.48,108.95,106.94,108.89
2016.04.19 시작09:30,106.91,108.0,106.23,107.88
2016.04.20 시작09:30,107.13,108.09,106.06,106.64
2016.04.21 시작09:30,105.97,106.93,105.52,106.93
2016.04.22 시작09:30,105.68,106.48,104.62,105.01
2016.04.25 시작09:30,105.08,105.65,104.51,105.0
2016.04.26 시작09:30,104.35,105.3,103.91,103.91
2016.04.27 시작09:30,97.82,98.71,95.68,96.0
2016.04.28 시작09:30,94.83,97.88,94.25,97.61
2016.04.29 시작09:30,93.74,94.72,92.51,93.99
2016.05.02 시작09:30,93.64,94.08,92.4,93.965
2016.05.03 시작09:30,95.18,95.74,93.68,94.2
2016.05.04 시작09:30,94.19,95.9,93.82,95.2
2016.05.05 시작09:30,93.24,94.07,92.68,94.0
2016.05.06 시작09:30,92.72,93.45,91.85,93.37
2016.05.09 시작09:30,92.79,93.77,92.59,93.0
2016.05.10 시작09:30,93.42,93.57,92.11,93.33
2016.05.11 시작09:30,92.51,93.57,92.46,93.48
2016.05.12 시작09:30,90.34,92.78,89.47,92.72
2016.05.13 시작09:30,90.52,91.67,90.0,90.0
2016.05.16 시작09:30,93.88,94.39,91.65,92.39
2016.05.17 시작09:30,93.49,94.7,93.01,94.55
2016.05.18 시작09:30,94.56,95.21,93.89,94.16
2016.05.19 시작09:30,94.2,94.64,93.57,94.64
2016.05.20 시작09:30,95.22,95.43,94.52,94.64
2016.05.23 시작09:30,96.43,97.19,95.67,95.87
2016.05.24 시작09:30,97.9,98.09,96.84,97.22
2016.05.25 시작09:30,99.62,99.74,98.11,98.67
2016.05.26 시작09:30,100.41,100.73,98.64,99.68
2016.05.27 시작09:30,100.35,100.47,99.245,99.44
2016.05.31 시작09:30,99.86,100.4,98.82,99.6
2016.06.01 시작09:30,98.46,99.54,98.33,99.02
2016.06.02 시작09:30,97.72,97.84,96.63,97.6
2016.06.03 시작09:30,97.92,98.27,97.45,97.79
2016.06.06 시작09:30,98.63,101.89,97.55,97.99
2016.06.07 시작09:30,99.03,99.87,98.96,99.25
2016.06.08 시작09:30,98.94,99.56,98.68,99.02
2016.06.09 시작09:30,99.65,99.99,98.46,98.5
2016.06.10 시작09:30,98.83,99.3457,98.48,98.53
2016.06.13 시작09:30,97.34,99.12,97.1,98.69
2016.06.14 시작09:30,97.46,98.475,96.75,97.32
2016.06.15 시작09:30,97.14,98.41,97.03,97.82
2016.06.16 시작09:30,97.55,97.75,96.07,96.45
2016.06.17 시작09:30,95.33,96.65,95.3,96.62
2016.06.20 시작09:30,95.1,96.57,95.03,96.0
2016.06.21 시작09:30,95.91,96.35,94.676,94.94
2016.06.22 시작09:30,95.55,96.89,95.35,96.25
2016.06.23 시작09:30,96.1,96.29,95.25,95.94
2016.06.24 시작09:30,93.4,94.655,92.65,92.91
2016.06.27 시작09:30,92.04,93.05,91.5,93.0
2016.06.28 시작09:30,93.59,93.66,92.14,92.9
2016.06.29 시작09:30,94.4,94.55,93.63,93.97
2016.06.30 시작09:30,95.6,95.77,94.3,94.44
2016.07.01 시작09:30,95.89,96.465,95.33,95.49
2016.07.05 시작09:30,94.99,95.4,94.46,95.39
2016.07.06 시작09:30,95.53,95.66,94.37,94.6
2016.07.07 시작09:30,95.94,96.5,95.62,95.7
2016.07.08 시작09:30,96.68,96.89,96.05,96.49
2016.07.11 시작09:30,96.98,97.65,96.73,96.75
2016.07.12 시작09:30,97.42,97.7,97.12,97.17
2016.07.13 시작09:30,96.87,97.67,96.84,97.41
2016.07.14 시작09:30,98.79,98.99,97.32,97.39
2016.07.15 시작09:30,98.78,99.3,98.5,98.92
2016.07.18 시작09:30,99.83,100.13,98.6,98.7
2016.07.19 시작09:30,99.87,100.0,99.34,99.56
2016.07.20 시작09:30,99.96,100.46,99.735,100.0
2016.07.21 시작09:30,99.43,101.0,99.13,99.83
2016.07.22 시작09:30,98.66,99.3,98.31,99.26
2016.07.25 시작09:30,97.34,98.84,96.92,98.25
2016.07.26 시작09:30,96.67,97.97,96.42,96.82
2016.07.27 시작09:30,102.95,104.35,102.75,104.265
2016.07.28 시작09:30,104.34,104.45,102.82,102.83
2016.07.29 시작09:30,104.21,104.55,103.68,104.19
2016.08.01 시작09:30,106.05,106.15,104.41,104.41
2016.08.02 시작09:30,104.48,106.07,104.0,106.05
2016.08.03 시작09:30,105.79,105.84,104.77,104.81
2016.08.04 시작09:30,105.87,106.0,105.28,105.58
2016.08.05 시작09:30,107.48,107.65,106.18,106.27
2016.08.08 시작09:30,108.37,108.37,107.16,107.52
2016.08.09 시작09:30,108.81,108.94,108.01,108.23
2016.08.10 시작09:30,108.0,108.9,107.76,108.71
2016.08.11 시작09:30,107.93,108.93,107.85,108.52
2016.08.12 시작09:30,108.18,108.44,107.78,107.78
2016.08.15 시작09:30,109.48,109.54,108.08,108.14
2016.08.16 시작09:30,109.38,110.23,109.21,109.63
2016.08.17 시작09:30,109.22,109.37,108.34,109.1
2016.08.18 시작09:30,109.08,109.6,109.02,109.23
2016.08.19 시작09:30,109.36,109.69,108.36,108.77
2016.08.22 시작09:30,108.51,109.1,107.85,108.86
2016.08.23 시작09:30,108.85,109.32,108.53,108.59
2016.08.24 시작09:30,108.03,108.75,107.68,108.565
2016.08.25 시작09:30,107.57,107.88,106.68,107.39
2016.08.26 시작09:30,106.94,107.95,106.31,107.41
2016.08.29 시작09:30,106.82,107.44,106.29,106.62
2016.08.30 시작09:30,106.0,106.5,105.5,105.8
2016.08.31 시작09:30,106.1,106.5699,105.64,105.66
2016.09.01 시작09:30,106.73,106.8,105.62,106.14
2016.09.02 시작09:30,107.73,108.0,106.82,107.7
2016.09.06 시작09:30,107.7,108.3,107.51,107.9
2016.09.07 시작09:30,108.36,108.76,107.07,107.83
2016.09.08 시작09:30,105.52,107.27,105.24,107.25
2016.09.09 시작09:30,103.13,105.72,103.13,104.64
2016.09.12 시작09:30,105.44,105.72,102.53,102.65
